Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
pl_nn_pai_,166,J166,166,G166,plastic paint brushes,"A brush used for painting, typically consisting of bristles fastened into a wooden or plastic handle. Can be made of other materials than artificial polymers."
wo_re_fwo_,167,J167,167,G167,wooden fireworks & matches,A small thin piece of wood or cardboard tipped with flammable chemicals that catch fire with friction (match); a small container filled with explosive chemicals that produce bright coloured patterns or loud noises when they explode (fireworks).
wo_nn_owo_smal_,171,J171,171,G171,other processed wooden items 2.5 cm ≥ ≤ 50 cm,"Other identifiable processed wooden items smaller than 50 cm in the longest dimension, which do not fit in any other category of this list, e.g. planks, boards, beams."
wo_nn_owo_larg_,172,J172,172,G172,other processed wooden items > 50cm,"Other identifiable processed wooden items larger than 50 cm in the longest dimension, which do not fit in any other category of this list, e.g., planks, boards, beams."
Wo_nn_owo_,,,173,G173,other wooden items,Other wood.
pl_re_,,,,,plastic recreation related,Plastic recreation related.
me_nn_b&c_cans_aesp_,174,J174,174,G174,metal aerosol/spray cans ,"A type of dispensing system which creates an aerosol mist of liquid particles; used with a can or bottle that contains a payload and propellant under pressure. Indicative examples of such items are: spray paints, cleaning spray foam, engine oil spray, etc."
pl_re_fwo_,244,J243,,,plastic remains of fireworks,"The plastic remains of fireworks such as caps of rockets, covers for fuses, exploding parts of battery fireworks."
me_fc_b&c_cans_bevg_,175,J175,175,G175,metal drinks cans,"Metal containers that are used for storing and selling e.g., beer, or soft drinks."
pl_sm_,,,,,plastic smoking related items,Plastic smoking related items.
me_fc_b&c_cans_fcan_,176,J176,176,G176,metal food cans,"Metal containers that are used for storing and selling food such as beans, soup, fish, corn, etc."
me_nn_foi_,177,J177,177,G177,"metal foil wrappers, aluminium foil","Thin aluminium sheeting or leaves used, especially, to cover and wrap food. "
me_nn_b&c_lids_,178,J178,178,G178,"metal bottle caps, lids & pull tabs from cans","Metallic caps and lids from bottles and containers, including the pull tabs from cans"
pl_vk_,,,,,plastic vehicle related,Plastic vehicle related.
me_re_bbq_,179,J179,179,G179,metal disposable BBQs,A single-use barbecue grill made from a lightweight aluminium material.
pp_fc_,,,,,paper food consumption related items,Paper food consumption related items.
pp_fc_b&c_,,,,,paper containers for food and drink,Paper containers for food and drink.
pp_fc_b&c_tpak_,,,,,paper cartons/Tetrapak,Paper cartons/Tetrapak.
me_nn_app_,180,J180,180,G180,"metal appliances (refrigerators, washers, etc.)","Metal (mostly electrical) devices or pieces of equipment designed to perform a specific task such as air conditioners, dishwashers, clothes dryers, freezers, refrigerators, kitchen stoves, water heaters, washing machines, trash compactors, microwave oven, etc."
me_fc_tab_,181,J181,181,G181,"metal tableware (e.g. plates, cups & cutlery)","Metal dishes or dishware used for serving food and dining, including cutlery, plates, cups, serving dishes and other useful items."
me_fi_wsl_,182,J182,182,G182,"metal fisheries related weights/sinkers, and lures","fisheries related items such as: weights/sinkers (a metal weight used in conjunction with a fishing lure or hook to increase its rate of sink, anchoring ability, and/or casting distance); lures (any bright artificial bait consisting of metal mounted with hooks and trimmed with feathers."
pp_fc_tab_cups_,245,J244,,,paper cups,"Cups for coffee and other drinks; made of cardboard. They have a wide range of uses in restaurants, bakeries, or catering settings."
pp_fc_tab_tray_,246,J245,,,"paper food trays, food wrappers, drink containers","Single-use food trays, food wrappers and drink containers, made of paper."
pp_hy_,,,,,paper personal hygiene and care,Paper personal hygiene and care.
pp_hy_cbs_,247,J246,,,paper cotton bud sticks,"A short paper stick with a small amount of cotton on each end that is used for cleaning, especially the ears."
pp_nn_,,,,,paper undefined use,Paper undefined use.
pp_nn_b&c_,248,J247,,,other paper containers,Other paper containers.
me_fi_trp_,184,J184,184,G184,metal lobster/crab pots,A portable trap that traps lobsters or crayfish. It can be constructed of wire or metal and netting. An opening permits the lobster or crab to enter a tunnel of netting.
me_nn_srp_,186,J186,186,G186,metal industrial scrap,"Metal resulting from the disuse of metal products such as parts of vehicles, building supplies, and surplus materials."
me_nn_b&c_barl_,,,187,G187,metal drums & barrels,"Large cylindrical metal containers used for storing or shipping bulk cargo, i.e. oil, chemicals, etc."
me_nn_b&c_cans_ocan_,188,J188,188,G188,other metal cans,Other metal containers that are used for storing and selling products that are not food or drinks or paints
me_nn_b&c_cans_ptin_,190,J190,190,G190,metal paint tins,Metal containers that are used for paint
me_nn_wir_,191,J191,191,G191,"wire, wire mesh, barbed wire","A metal mesh woven, knitted, welded, expanded, photo-chemically etched or electroformed steel or other (wire mesh); a metal wire with or without clusters of short, sharp spikes set at short intervals along it, used to make fences."
me_vk_prt_,193,J193,193,G193,metal vehicle parts / batteries,"Any part of a car or other transport vehicle (i.e., boat) made predominantly of metal, including vehicle batteries. Excluding wheels."
ru_cl_,,,,,"rubber clothing, footwear, headwear, gloves","Rubber clothing, footwear, headwear, gloves."
ru_cl_ftw_,,,,,rubber footwear,Rubber footwear.
me_co_cab_,194,J194,194,G194,metal cables,"A thick metal wire or a group of wires usually inside a rubber or plastic covering, which is used to carry electricity or electronic signals."
ru_hy_,,,,,rubber personal hygiene and care,Rubber personal hygiene and care.
me_nn_bat_,195,J195,195,G195,metal household batteries,"Small-sized batteries that are typically used in small electronic devices such as flashlights, cameras, etc. "
ru_nn_,,,,,rubber undefined use,Rubber undefined use.
me_nn_ome_,,,197,G197,other metal objects,Other metal objects.
me_nn_ome_smal_,198,J198,198,G198,other metal pieces 2.5cm  ≥ ≤  50cm,Other identifiable metal items that are smaller than 50 cm in the longest dimension and do not fit in any other item category of this list.
ru_nn_its_rush_,249,J248,,,rubber sheet,"Rubber sheeting made of rubber (or rubber-like artificial polymer). Rubber sheets are used for varied purposes e.g., flooring, under shower pans, drainage systems, as lining for water containers and in construction."
me_nn_ome_larg_,199,J199,199,G199,other metal pieces > 50cm,Other identifiable metal items that are bigger than 50 cm in the longest dimension and do not fit in any other item category of this list.
ru_nn_tyr_belt_,250,J249,,,rubber belts,Rubber belts elongated rectangular rubber items.
gc_nn_b&c_bott_,200,J200,200,G200,glass bottles,"Glass or ceramic containers with a narrow neck, used for storing drinks or other liquids. Includes pieces of glass that can be identified as coming from a bottle."
gc_nn_b&c_jars_,201,J201,201,G201,glass jars ,"Wide-mouthed cylindrical containers made of glass or pottery, especially used for storing food. Includes pieces of glass that can be identified as coming from a jar."
ru_vk_,,,,,rubber vehicle related items,Rubber vehicle related items.
ru_vk_its_intu_,251,J250,,,rubber inner-tubes,An inflatable usually ring-shaped rubber tube designed for use inside a pneumatic tire.
gc_nn_lit_libu_,202,J202,202,G202,glass light bulbs,"A glass bulb inserted into a lamp or a socket in a ceiling, which provides light by passing an electric current through a filament or a pocket of inert gas. Includes all types, also halogen, LED, etc."
ru_vk_tyr_tyre_,252,J251,,,rubber tyres,Rubber tyres from all types of vehicles.
wo_fc_,,,,,wooden food consumption related items,Wooden food consumption related items.
wo_fc_b&c_,,,,,wooden bottles-related items,Wooden bottles-related items
gc_fc_tab_,203,J203,203,G203,glass and ceramic tableware (plates/cups/glasses),"Glass or ceramic dishes or dishware used for serving food and dining, plates, cups, glassware, serving dishes and other useful items for practical as well as decorative purposes."
gc_co_btc_,204,J204,204,G204,"glass ceramic construction materials (bricks, tiles, cement)","Any glass and ceramic material which is used for construction purposes such as brick, roof tiles, floor tiles, bricks, cement, etc."
wo_fi_,,,,,wooden fisheries related items,Wooden fisheries related items.
gc_nn_lit_flbu_,205,J205,205,G205,glass fluorescent light tube,A low-pressure mercury-vapour gas-discharge lamp that uses fluorescence to produce visible light.
gc_fi_trp_octo_,207,J207,207,G207,ceramic or glass octopus pots,"Pots made of pottery, weighted with concrete, and typically having a volume of 4 litres. Octopus seeking refuge in the pots can be trapped."
wo_nn_,,,,,wood undefined use,Wood undefined use.
gc_nn_gfr_,208,J208,208,G208,pieces of glass/ceramic (glass or ceramic fragments ≥ 2.5 cm),Fragments of pottery or glass items that cannot be identified (≥ 2.5 cm).
gc_nn_occ_ogli_,210,J210,210,G210,other glass items,"Other identifiable glass items, which do not fit in any other category of this list."
pl_md_omd_,211,J211,211,G211,"other plastic medical items (swabs, bandaging, adhesive plasters etc.) ","Items deemed necessary for the treatment of an illness or injury. These may include swabs, bandaging, adhesive plasters, etc. Can be made of other materials than artificial polymers."
ch_nn_lig_pfwa_,,,213,G213,paraffin wax,"All types of paraffin wax, refined or less refined. ""Paraffin"" and ""wax"" are often used as synonyms for paraffin wax! Paraﬃn wax is always a mixture of n-alkanes and, depending on the degree of purity, various secondary components, which can vary greatly."
ch_nn_drk_oita_,,,214,G214,oil & tar,oil & tar
wo_re_,,,,,wooden recreation related items,Wooden recreation related items.
fw_,215,J215,215,G215,organic food waste,All types of non-packaged food and food remains.
