Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
pl_aq_shf_oyst_,46,J46,46,G46,plastic oyster trays ,"A special tray made of square mesh used for growing oysters. Trays may be single, double or triple stacked, with or without feet, doors, v-braces and hooks."
pl_aq_shf_tahi_,47,J47,47,G47,plastic sheeting from mussel culture (Tahitians),Pieces of plastic sheeting about 50X40 cm which are cut at one end into fringes or stripes so they look a little like a grass skirt from Hawaii. They are used to protect mussel cultures from animals that feed on mussels. 
pl_nn_rps_rope_,49,J49,49,G49,plastic rope (diameter more than 1cm),"A stout cord of strands of plastic fibres twisted or braided together, with a diameter larger than 1 cm."
pl_nn_rps_strg_,,,50,G50,plastic string and cord (diameter less than 1cm),String and cord (diameter less than 1cm).
pl_fi_net_,,,52,G52,plastic nets and pieces of net including dolly ropes,Plastic nets and pieces of net including dolly ropes.
pl_fi_net_smal_,53,J53,53,G53,plastic nets and pieces of net 2.5 cm  ≥ ≤  50 cm,"Pieces of plastic open-meshed material made of twine, cord, or something similar, used typically for catching fish; smaller than 50 cm in the longest dimension."
pl_fi_net_larg_,54,J54,54,G54,plastic nets and pieces of net > 50cm,"Pieces of plastic open-meshed material made of twine, cord, or something similar, used typically for catching fish; bigger than 50 cm in the longest dimension."
pl_fi_net_tang_,,,56,G56,plastic tangled nets/cord,Tangled nets/cord made of plastic.
pl_cl_glv_sugl_,253,J252,,,single-use plastic gloves,Single-use plastic gloves used for example in relation to the COVID-19 pandemic.
pl_cl_hdw_,,,,,plastic headwear,Plastic headwear.
pl_fi_box_plbx_,57,J57,57,G57,fish boxes - hard plastic,"Boxes made of plastic materials (other than expanded polystyrene), which are used for packaging fish or other seafood."
pl_co_,,,,,plastic construction related waste,Plastic construction waste.
pl_fi_box_fbox_,58,J58,58,G58,fish boxes - foamed polystyrene,"Boxes made of foamed polystyrene, which are used for packaging fish or other seafood."
pl_fc_,,,,,plastic food consumption related items,Plastic food consumption related items.
pl_fi_lin_,59,J59,59,G59,plastic fishing line,"A long nylon thread, usually attached to a baited hook, with a sinker or float, and used for catching fish. The fishing line may be found tangled or not and with or without hooks, sinkers and floats. "
pl_fc_b&c_dbot_,,,,,plastic drink bottles,Plastic drink bottles.
pl_fi_fil_,60,J60,60,G60,plastic fishing light sticks / fishing glow sticks incl. packaging,An item that is used by anglers in order to make baits more attractive to fish. Fishing light sticks or glow sticks are typically tubes filled with fluorescent fluid. They can be found in a variety of sizes. 
pl_fi_ofi_,61,J61,61,G61,other plastic fisheries related items not covered by other categories,"Other fisheries related litter items that are not explicitly addressed by the fisheries related items included on this list e.g., soft and hard plastic baits such as wobblers, spinners, etc."
