OSPAR-ID,Type-Code,Name,J-Code,G-Code,OSPAR Name
46,pl_nn_frg_smal_,fragments of foamed and non-foamed plastic material 2.5cm  ≥ ≤  50cm,,G76,"Plastic/polystyrene pieces  2,5 cm > < 50 cm"
48,pl_nn_idp_,other hard plastic or foamed polystyrene items (identifiable),,G124,Other plastic/polystyrene items
73,pl_nn_pai_,plastic paint brushes,J166,G166,Paint brushes
17,pl_nn_pen_,plastic pens and pen lids,J28,G28,Pens
31,pl_nn_rps_rope_,plastic rope (diameter more than 1cm),J49,G49,Rope (diameter more than 1 cm)
32,pl_nn_rps_strg_,plastic string and cord (diameter less than 1cm),,G50,String and cord (diameter less than 1 cm)
39,pl_nn_stb_,plastic strapping bands,J66,G66,Strapping bands
1,pl_nn_sxp_,plastic 4/6-pack yokes & six-pack rings,J1,G1,4/6-pack yokes
114,pl_nn_tag_,plastic tags (fishing and industry),J43,G43,Lobster and fish tags
20,pl_re_toy_,plastic toys and party poppers,J32,G32,Toys & party poppers
64,pl_sm_but_,tobacco products with filters (cigarette butts with filters),J27,G27,Cigarette butts
16,pl_sm_lht_,plastic cigarette lighters,J26,G26,Cigarette lighters
14,pl_vk_prt_,plastic vehicle parts,J19,G19,Car parts
118,pp_fc_b&c_tpak_milk_,paper cartons/Tetrapak milk,J150,G150,Cartons e.g. tetrapak (milk)
62,pp_fc_b&c_tpak_otpk_,paper cartons/Tetrapak (non-milk),J151,G151,Cartons e.g. tetrapak (other)
65,pp_fc_tab_cups_,paper cups,J244,,Cups
60,pp_nn_bag_,paper bags,J147,G147,Bags
61,pp_nn_box_,cardboard boxes,J148,G148,Cardboard
66,pp_nn_new_,paper newspapers & magazines,J154,G154,Newspapers & magazines
67,pp_nn_opp_,other paper items,J158,G158,Other paper items
63,pp_sm_cig_,paper cigarette packets,J152,G152,Cigarette packets
50,ru_cl_ftw_rubo_,rubber boots,J127,G127,Boots
97,ru_hy_con_,rubber condoms (incl. packaging),J133,G133,Condoms
53,ru_nn_oru_,other rubber pieces,J134,G134,Other rubber pieces
49,ru_re_bln_,rubber balloons,J125,G125,"Balloons, including plastic valves, ribbons, strings etc."
52,ru_vk_tyr_,rubber tyres & belts,,G128,Tyres and belts
68,wo_fc_b&c_cork_,wooden corks,J159,G159,Corks
72,wo_fc_ice_,"wooden ice-cream sticks, chip forks, chopsticks, toothpicks",J165,G165,Ice lolly sticks / chip forks
119,wo_fi_box_,wooden fish boxes,J164,G164,Fish boxes
71,wo_fi_trp_,wooden crab/lobster pots,J163,G163,Crab/lobster pots
70,wo_nn_box_,"wooden crates, boxes, baskets for packaging",J162,G162,Crates
75,wo_nn_owo_larg_,other processed wooden items > 50cm,J172,G172,Other wood  > 50 cm
74,wo_nn_owo_smal_,other processed wooden items 2.5 cm ≥ ≤ 50 cm,J171,G171,Other wood  < 50 cm
69,wo_nn_pal_,wooden pallets,J160,G160,Pallets+A90A81:A1:F114
117,,MESOPLASTIK,,,"Plastic/polystyrene pieces 0 - 2,5 cm"
