,name,lat_lon,Gebiedscode,Rivier,Coordinaten,Lat,Lon,meting
59,Maas44,"(51.709962, 5.046431)",M(144a)L-NBNL,Maas,#REF!,51.709962,5.046431,1
60,Maas45,"(51.7246, 5.0883)",M(140a)L-NBNL,Maas,#REF!,51.7246,5.0883,1
61,Maas46,"(51.7414, 5.1613)",M(137a)L-NBNL,Maas,#REF!,51.7414,5.1613,1
62,Maas47,"(51.7569, 5.1365)",M(136b)L-NBNL,Maas,#REF!,51.7569,5.1365,1
63,Maas48,"(51.7415, 5.1821)",M(135a)L-NBNL,Maas,#REF!,51.7415,5.1821,1
64,Maas49,"(51.74, 5.2039)",M(134b)L-REFE,Maas,#REF!,51.74,5.2039,1
65,Maas49,"(51.74, 5.2039)",M(134a)L-NBNL,Maas,#REF!,51.74,5.2039,1
66,Maas50,"(51.7424, 5.2163)",M(132a)L-NBNL,Maas,#REF!,51.7424,5.2163,1
67,Maas51,"(51.7331, 5.2535)",M(130a)L-NBNL,Maas,#REF!,51.7331,5.2535,1
68,Maas52,"(51.7411, 5.2795)",M(128a)R-GENL,Maas,#REF!,51.7411,5.2795,1
69,Maas53,"(51.7389, 5.2817)",M(127a)L-NBNL,Maas,#REF!,51.7389,5.2817,1
70,Maas54,"(51.7361, 5.2972)",M(125a)L-NBNL,Maas,#REF!,51.7361,5.2972,1
71,Maas55,"(51.74, 5.3101)",M(123a)L-NBNL,Maas,#REF!,51.74,5.3101,1
72,Maas56,"(51.7444, 5.3194)",M(122a)L-NBNL,Maas,#REF!,51.7444,5.3194,1
73,Maas57,"(51.7606, 5.3618)",M(116a)L-NBNL,Maas,#REF!,51.7606,5.3618,1
74,Maas58,"(51.7845, 5.3664)",M(114a)L-NBNL,Maas,#REF!,51.7845,5.3664,1
75,Maas59,"(51.8091, 5.4013)",M(111a)L-NBNL,Maas,#REF!,51.8091,5.4013,1
76,Maas60,"(51.8159, 5.4104)",M(110a)L-NBNL,Maas,#REF!,51.8159,5.4104,1
77,Maas61,"(51.828, 5.4914)",M(107a)L-NBNL,Maas,#REF!,51.828,5.4914,1
78,Maas62,"(51.8155, 5.5385)",M(105a)L-NBNL,Maas,#REF!,51.8155,5.5385,1
79,Maas63,"(51.7928, 5.6654)",M(100a)L-NBNL,Maas,#REF!,51.7928,5.6654,1
80,Maas64,"(51.7937, 5.6686)",M(099a)R-GENL,Maas,#REF!,51.7937,5.6686,1
81,Maas65,"(51.7763, 5.71)",M(097a)R-GENL,Maas,#REF!,51.7763,5.71,1
82,Maas66,"(51.7573, 5.8607)",M(090a)L-NBNL,Maas,#REF!,51.7573,5.8607,1
83,Maas67,"(51.7527, 5.8735)",M(087a)L-NBNL,Maas,#REF!,51.7527,5.8735,1
84,Maas68,"(51.7468, 5.8816)",M(086a)R-LINL,Maas,#REF!,51.7468,5.8816,1
85,Maas69,"(51.7461, 5.8791)",M(085a)L-LINL,Maas,#REF!,51.7461,5.8791,1
86,Maas70,"(51.7379, 5.8827)",M(084a)L-NBNL,Maas,#REF!,51.7379,5.8827,1
87,Maas71,"(51.7221, 5.8906)",M(083a)L-NBNL,Maas,#REF!,51.7221,5.8906,1
88,Maas14,"(51.7184, 5.9242)",M(082b)L-REFE,Maas,#REF!,51.7184,5.9242,1
89,Maas72,"(51.7172, 5.9347)",M(080a)R-LINL,Maas,#REF!,51.7172,5.9347,1
90,Maas73,"(51.7128, 5.9513)",M(079a)R-LINL,Maas,#REF!,51.7128,5.9513,1
91,Maas74,"(51.6983, 5.9581)",M(077a)R-NBNL,Maas,#REF!,51.6983,5.9581,1
92,Maas75,"(51.6582, 5.9646)",M(075a)R-LINL,Maas,#REF!,51.6582,5.9646,1
93,Maas76,"(51.648, 5.971)",M(074a)R-LINL,Maas,#REF!,51.648,5.971,1
94,Maas77,"(51.6475, 5.9679)",M(073a)L-NBNL,Maas,#REF!,51.6475,5.9679,1
95,Maas78,"(51.6325, 6.0006)",M(072b)L-NBNL,Maas,#REF!,51.6325,6.0006,1
96,Maas79,"(51.6296, 6.0096)",M(071a)R-LINL,Maas,#REF!,51.6296,6.0096,1
97,Maas80,"(51.5456, 6.0756)",M(068a)L-LINL,Maas,#REF!,51.5456,6.0756,1
98,Maas81,"(51.5469, 6.1034)",M(067a)L-LINL,Maas,#REF!,51.5469,6.1034,1
99,Maas82,"(51.5494, 6.1038)",M(066a)R-LINL,Maas,#REF!,51.5494,6.1038,1
100,Maas83,"(51.4862, 6.1658)",M(063a)R-LINL,Maas,#REF!,51.4862,6.1658,1
101,Maas84,"(51.4867, 6.169)",M(062a)L-LINL,Maas,#REF!,51.4867,6.169,1
102,Maas85,"(51.4686, 6.1804)",M(061a)R-LINL,Maas,#REF!,51.4686,6.1804,1
103,Maas86,"(51.4691, 6.1774)",M(060a)L-LINL,Maas,#REF!,51.4691,6.1774,1
104,Maas87,"(51.4251, 6.1561)",M(059a)L-LINL,Maas,#REF!,51.4251,6.1561,1
105,Maas88,"(51.3565, 6.1435)",M(057a)L-LINL,Maas,#REF!,51.3565,6.1435,1
106,Maas89,"(51.3066, 6.1015)",M(054a)R-LINL,Maas,#REF!,51.3066,6.1015,1
107,Maas90,"(51.2873, 6.0521)",M(052a)R-LINL,Maas,#REF!,51.2873,6.0521,1
108,Maas91,"(51.2531, 6.0099)",M(049a)R-LINL,Maas,#REF!,51.2531,6.0099,1
109,Maas92,"(51.2301, 5.9947)",M(048a)L-LINL,Maas,#REF!,51.2301,5.9947,1
110,Maas93,"(51.2146, 5.9837)",M(045a)R-LINL,Maas,#REF!,51.2146,5.9837,1
111,Maas94,"(51.1875, 5.9714)",M(044a)R-LINL,Maas,#REF!,51.1875,5.9714,1
112,Maas95,"(51.1938, 5.9777)",M(043a)R-LINL,Maas,#REF!,51.1938,5.9777,1
113,Maas96,"(51.1893, 5.9416)",M(042a)R-LINL,Maas,#REF!,51.1893,5.9416,1
114,Maas97,"(51.188, 5.9321)",M(041a)L-LINL,Maas,#REF!,51.188,5.9321,1
115,Maas98,"(51.1622, 5.9527)",M(039a)R-LINL,Maas,#REF!,51.1622,5.9527,1
116,Maas99,"(51.1625, 5.9363)",M(038a)R-LINL,Maas,#REF!,51.1625,5.9363,1
117,Maas100,"(51.1469, 5.8794)",M(037a)R-LINL,Maas,#REF!,51.1469,5.8794,1
118,Maas101,"(51.1307, 5.8417)",M(036a)R-LINL,Maas,#REF!,51.1307,5.8417,1
119,Maas102,"(51.1085, 5.8209)",M(034a)R-LINL,Maas,#REF!,51.1085,5.8209,1
120,Maas103,"(51.0848, 5.8018)",M(033a)R-LINL,Maas,#REF!,51.0848,5.8018,1
121,Maas104,"(51.0669, 5.7999)",M(032a)R-LINL,Maas,#REF!,51.0669,5.7999,1
122,Maas105,"(51.0463, 5.7669)",M(028a)L-LIBE,Maas,#REF!,51.0463,5.7669,1
123,Maas106,"(51.0303, 5.7589)",M(027a)L-LIBE,Maas,#REF!,51.0303,5.7589,1
124,Maas107,"(51.0296, 5.7658)",M(026a)R-LINL,Maas,#REF!,51.0296,5.7658,1
125,Maas108,"(51.023, 5.772)",M(025a)L-LIBE,Maas,#REF!,51.023,5.772,1
126,Maas109,"(51.0173, 5.769)",M(024a)L-LIBE,Maas,#REF!,51.0173,5.769,1
127,Maas110,"(50.9823, 5.7479)",M(021a)L-LIBE,Maas,#REF!,50.9823,5.7479,1
128,Maas111,"(50.9805, 5.7398)",M(020a)L-LIBE,Maas,#REF!,50.9805,5.7398,1
129,Maas112,"(50.958, 5.7375)",M(017a)R-LINL,Maas,#REF!,50.958,5.7375,1
130,Maas113,"(50.9501, 5.7581)",M(015a)R-LINL,Maas,#REF!,50.9501,5.7581,1
131,Maas114,"(50.9105, 5.7217)",M(012a)L-LIBE,Maas,#REF!,50.9105,5.7217,1
132,Maas115,"(50.9075, 5.7197)",M(011a)R-LINL,Maas,#REF!,50.9075,5.7197,1
133,Maas116,"(50.9097, 5.7143)",M(010a)L-LIBE,Maas,#REF!,50.9097,5.7143,1
134,Maas15,"(50.8724, 5.689)",M(006b)R-REFE,Maas,#REF!,50.8724,5.689,1
135,Maas15,"(50.8724, 5.689)",M(006a)L-LIBE,Maas,#REF!,50.8724,5.689,1
136,Maas117,"(50.8733, 5.6906)",M(005a)R-LINL,Maas,#REF!,50.8733,5.6906,1
137,Maas118,"(50.7959, 5.6953)",M(004a)R-LINL,Maas,#REF!,50.7959,5.6953,1
138,Maas119,"(50.7823, 5.7001)",M(003a)R-LINL,Maas,#REF!,50.7823,5.7001,1
139,Waal120,"(51.8208, 4.9052)",W(085a)L-NBNL,Waal,#REF!,51.8208,4.9052,2
140,Waal23,"(51.8229, 5.0045)",W(079a)R-ZHNL,Waal,#REF!,51.8229,5.0045,2
141,Waal1,"(51.8227, 5.0159)",W(078a)R-ZHNL,Waal,#REF!,51.8227,5.0159,2
142,Waal25,"(51.8268, 5.0691)",W(075a)R-GENL,Waal,#REF!,51.8268,5.0691,2
143,Waal24,"(51.8193, 5.0376)",W(077a)R-GENL,Waal,#REF!,51.8193,5.0376,2
144,Waal2,"(51.829, 5.0805)",W(074b)R-REFE,Waal,#REF!,51.829,5.0805,2
145,Waal2,"(51.829, 5.0805)",W(074a)R-GENL,Waal,#REF!,51.829,5.0805,2
146,Waal121,"(51.8275, 5.098)",W(073a)R-GENL,Waal,#REF!,51.8275,5.098,2
147,Waal26,"(51.8079, 5.2146)",W(063a)L-GENL,Waal,#REF!,51.8079,5.2146,2
148,Waal30,"(51.8313, 5.3947)",W(050a)L-GENL,Waal,#REF!,51.8313,5.3947,2
149,Waal4,"(51.8475, 5.4159)",W(048a)L-GENL,Waal,#REF!,51.8475,5.4159,2
150,Waal122,"(51.8528, 5.4114)",W(047a)R-GENL,Waal,#REF!,51.8528,5.4114,2
151,Waal5,"(51.8588, 5.4222)",W(046a)L-GENL,Waal,#REF!,51.8588,5.4222,2
152,Waal31,"(51.8719, 5.4231)",W(045a)R-GENL,Waal,#REF!,51.8719,5.4231,2
154,Waal8,"(51.8923, 5.5114)",W(038b)R-GENL,Waal,#REF!,51.8923,5.5114,2
156,Waal33,"(51.8976, 5.5901)",W(036a)L-GENL,Waal,#REF!,51.8976,5.5901,2
157,Waal34,"(51.9014, 5.5961)",W(035a)R-GENL,Waal,#REF!,51.9014,5.5961,2
158,Waal10,"(51.8998, 5.6477)",W(031a)R-GENL,Waal,#REF!,51.8998,5.6477,2
159,Waal35,"(51.8872, 5.7376)",W(025a)R-GENL,Waal,#REF!,51.8872,5.7376,2
160,Waal36,"(51.8822, 5.7633)",W(024a)R-GENL,Waal,#REF!,51.8822,5.7633,2
161,Waal11,"(51.8778, 5.7978)",W(022b)R-REFE,Waal,#REF!,51.8778,5.7978,2
162,Waal38,"(51.8714, 5.8192)",W(021a)R-GENL,Waal,#REF!,51.8714,5.8192,2
163,Waal39,"(51.8604, 5.8856)",W(017a)L-GENL,Waal,#REF!,51.8604,5.8856,2
164,Waal123,"(51.8724, 5.9142)",W(014a)L-GENL,Waal,#REF!,51.8724,5.9142,2
165,Waal12,"(51.8766, 5.9225)",W(013a)R-GENL,Waal,#REF!,51.8766,5.9225,2
166,Waal124,"(51.8655, 5.9417)",W(010a)L-GENL,Waal,#REF!,51.8655,5.9417,2
167,Waal13,"(51.7183, 4.698)",W(008a)L-GENL,Waal,#REF!,51.7183,4.698,2
168,Waal13,"(51.7183, 4.698)",W(004a)L-GENL,Waal,#REF!,51.7183,4.698,2
169,Waal13,"(51.7183, 4.698)",W(001a)R-REFE,Waal,#REF!,51.7183,4.698,2
170,Nederrijn13,"(51.7183, 4.698)",R(004a)L-GENL,Nederrijn,#REF!,51.7183,4.698,2
171,Maas40,"(51.7175, 4.9081)",M(149a)L-NBNL,Maas,#REF!,51.7175,4.9081,2
172,Maas41,"(51.7216, 4.9388)",M(147a)L-NBNL,Maas,#REF!,51.7216,4.9388,2
173,Maas42,"(51.7178, 4.9804)",M(146a)L-NBNL,Maas,#REF!,51.7178,4.9804,2
