,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
103,G14,Plastic,Engine oil bottles,Packaging,Where does it come from,,Parent code,True,False,False,
104,G15,Plastic,Engine oil bottles > 50cm,Packaging,Where does it come from,,Parent code,True,False,False,
105,G16,Plastic,Jerry cans,Packaging,Where does it come from,,Parent code,True,False,False,
106,G17,Plastic,Injection gun cartridge,Packaging,Where does it come from,,Parent code,True,False,False,
107,G18,Plastic,Crates/baskets,Packaging,Where does it come from,,Parent code,True,False,False,
108,G19,Plastic,Car parts,Vehicle,Where does it come from,,Parent code,True,False,False,
109,G2,Plastic,Bags,Packaging,Where does it come from,none,Parent code,True,True,False,none
110,G20,Plastic,Caps and lids,Packaging,Where does it come from,none,Parent code,True,True,False,15
111,G21,Plastic,Drink lids,Packaging,Food and drinks,none,Parent code,True,False,False,15
112,G22,Plastic,"Lids for chemicals, detergents (non-food)",Packaging,Where does it come from,none,Parent code,True,False,False,15
113,G23,Plastic,Lids unidentified,Packaging,Where does it come from,,Parent code,True,False,False,
114,G24,Plastic,Lid/cap rings from plastic bottles/containers,Packaging,Where does it come from,none,Parent code,True,True,False,15
115,G25,Plastic,"Tobacco; plastic  packaging, containers",Tobacco,Smoking related,Direct,Parent code,True,True,False,48
116,G26,Plastic,Cigarette lighters,Tobacco,Where does it come from,none,Parent code,True,False,False,16
117,G27,Plastic,Cigarette butts and filters,Tobacco,Where does it come from,none,Parent code,True,True,False,64
118,G28,Plastic,"Pens, lids, mechanical pencils etc.",Utility items,Where does it come from,Direct,Parent code,True,False,False,17
119,G29,Plastic,"Combs, brushes and sunglasses",Utility items,Where does it come from,Direct,Parent code,True,False,False,18
120,G3,Plastic,Bags; plastic shopping/carrier/grocery and pieces,Packaging,Food and drink,none,Parent code,True,True,False,2
121,G30,Plastic,"Food wrappers; candy, snack packaging",Packaging,Food and drink,none,Parent code,True,True,False,19
122,G31,Plastic,Lollypop sticks,Packaging,Food and drink,none,Parent code,True,True,False,19
123,G32,Plastic,Toys and party favors,Recreation,Where does it come from,none,Parent code,True,False,False,20
124,G33,Plastic,"Cups, lids, single use foamed and hard plastic",Packaging,Food and drink,Direct,Parent code,True,True,False,21
125,G34,Plastic,"Cutlery, plates and trays",Food,Where does it come from,none,Parent code,True,True,False,22
126,G35,Plastic,Straws and stirrers,Food,none,none,Parent code,True,True,False,22
127,G36,Plastic,"Bags/sacks heavy duty plastic for 25 Kg or more; animal feed, fertilizers, garden trash etc.",Packaging,Where does it come from,Indirect,Parent code,True,True,False,23
128,G37,Plastic,Mesh bags,Packaging,Where does it come from,,Parent code,True,False,False,
129,G38,Plastic,"Coverings; plastic packaging, sheeting for protecting large cargo items",Packaging,Industrial,none,Parent code,False,True,False,40
130,G39,Plastic,Gloves,Clothing,Where does it come from,,Parent code,True,False,False,
