location,latitude,longitude,city,country,water_name,water,lat_lon,slug,Gebiedscode
Maas51,51.7331,5.2535,unk,NL,Maas,r,"(51.7331, 5.2535)",maas51,M(130a)L-NBNL
Maas52,51.7411,5.2795,unk,NL,Maas,r,"(51.7411, 5.2795)",maas52,M(128a)R-GENL
Maas53,51.7389,5.2817,unk,NL,Maas,r,"(51.7389, 5.2817)",maas53,M(127a)L-NBNL
Maas54,51.7361,5.2972,unk,NL,Maas,r,"(51.7361, 5.2972)",maas54,M(125a)L-NBNL
Maas55,51.74,5.3101,unk,NL,Maas,r,"(51.74, 5.3101)",maas55,M(123a)L-NBNL
Maas56,51.7444,5.3194,unk,NL,Maas,r,"(51.7444, 5.3194)",maas56,M(122a)L-NBNL
Maas57,51.7606,5.3618,unk,NL,Maas,r,"(51.7606, 5.3618)",maas57,M(116a)L-NBNL
Maas58,51.7845,5.3664,unk,NL,Maas,r,"(51.7845, 5.3664)",maas58,M(114a)L-NBNL
Maas59,51.8091,5.4013,unk,NL,Maas,r,"(51.8091, 5.4013)",maas59,M(111a)L-NBNL
Maas60,51.8159,5.4104,unk,NL,Maas,r,"(51.8159, 5.4104)",maas60,M(110a)L-NBNL
Maas61,51.828,5.4914,unk,NL,Maas,r,"(51.828, 5.4914)",maas61,M(107a)L-NBNL
Maas62,51.8155,5.5385,unk,NL,Maas,r,"(51.8155, 5.5385)",maas62,M(105a)L-NBNL
Maas63,51.7928,5.6654,unk,NL,Maas,r,"(51.7928, 5.6654)",maas63,M(100a)L-NBNL
Maas64,51.7937,5.6686,unk,NL,Maas,r,"(51.7937, 5.6686)",maas64,M(099a)R-GENL
Maas65,51.7763,5.71,unk,NL,Maas,r,"(51.7763, 5.71)",maas65,M(097a)R-GENL
Maas66,51.7573,5.8607,unk,NL,Maas,r,"(51.7573, 5.8607)",maas66,M(090a)L-NBNL
Maas67,51.7527,5.8735,unk,NL,Maas,r,"(51.7527, 5.8735)",maas67,M(087a)L-NBNL
Maas68,51.7468,5.8816,unk,NL,Maas,r,"(51.7468, 5.8816)",maas68,M(086a)R-LINL
Maas69,51.7461,5.8791,unk,NL,Maas,r,"(51.7461, 5.8791)",maas69,M(085a)L-LINL
Maas70,51.7379,5.8827,unk,NL,Maas,r,"(51.7379, 5.8827)",maas70,M(084a)L-NBNL
Maas71,51.7221,5.8906,unk,NL,Maas,r,"(51.7221, 5.8906)",maas71,M(083a)L-NBNL
Maas72,51.7172,5.9347,unk,NL,Maas,r,"(51.7172, 5.9347)",maas72,M(080a)R-LINL
Maas73,51.7128,5.9513,unk,NL,Maas,r,"(51.7128, 5.9513)",maas73,M(079a)R-LINL
Maas74,51.6983,5.9581,unk,NL,Maas,r,"(51.6983, 5.9581)",maas74,M(077a)R-NBNL
Maas75,51.6582,5.9646,unk,NL,Maas,r,"(51.6582, 5.9646)",maas75,M(075a)R-LINL
Maas76,51.648,5.971,unk,NL,Maas,r,"(51.648, 5.971)",maas76,M(074a)R-LINL
Maas77,51.6475,5.9679,unk,NL,Maas,r,"(51.6475, 5.9679)",maas77,M(073a)L-NBNL
Maas78,51.6325,6.0006,unk,NL,Maas,r,"(51.6325, 6.0006)",maas78,M(072b)L-NBNL
Maas79,51.6296,6.0096,unk,NL,Maas,r,"(51.6296, 6.0096)",maas79,M(071a)R-LINL
Maas80,51.5456,6.0756,unk,NL,Maas,r,"(51.5456, 6.0756)",maas80,M(068a)L-LINL
Maas81,51.5469,6.1034,unk,NL,Maas,r,"(51.5469, 6.1034)",maas81,M(067a)L-LINL
Maas82,51.5494,6.1038,unk,NL,Maas,r,"(51.5494, 6.1038)",maas82,M(066a)R-LINL
Maas83,51.4862,6.1658,unk,NL,Maas,r,"(51.4862, 6.1658)",maas83,M(063a)R-LINL
Maas84,51.4867,6.169,unk,NL,Maas,r,"(51.4867, 6.169)",maas84,M(062a)L-LINL
Maas85,51.4686,6.1804,unk,NL,Maas,r,"(51.4686, 6.1804)",maas85,M(061a)R-LINL
Maas86,51.4691,6.1774,unk,NL,Maas,r,"(51.4691, 6.1774)",maas86,M(060a)L-LINL
Maas87,51.4251,6.1561,unk,NL,Maas,r,"(51.4251, 6.1561)",maas87,M(059a)L-LINL
Maas88,51.3565,6.1435,unk,NL,Maas,r,"(51.3565, 6.1435)",maas88,M(057a)L-LINL
Maas89,51.3066,6.1015,unk,NL,Maas,r,"(51.3066, 6.1015)",maas89,M(054a)R-LINL
Maas90,51.2873,6.0521,unk,NL,Maas,r,"(51.2873, 6.0521)",maas90,M(052a)R-LINL
Maas91,51.2531,6.0099,unk,NL,Maas,r,"(51.2531, 6.0099)",maas91,M(049a)R-LINL
Maas92,51.2301,5.9947,unk,NL,Maas,r,"(51.2301, 5.9947)",maas92,M(048a)L-LINL
Maas93,51.2146,5.9837,unk,NL,Maas,r,"(51.2146, 5.9837)",maas93,M(045a)R-LINL
Maas94,51.1875,5.9714,unk,NL,Maas,r,"(51.1875, 5.9714)",maas94,M(044a)R-LINL
Maas95,51.1938,5.9777,unk,NL,Maas,r,"(51.1938, 5.9777)",maas95,M(043a)R-LINL
Maas96,51.1893,5.9416,unk,NL,Maas,r,"(51.1893, 5.9416)",maas96,M(042a)R-LINL
Maas97,51.188,5.9321,unk,NL,Maas,r,"(51.188, 5.9321)",maas97,M(041a)L-LINL
Maas98,51.1622,5.9527,unk,NL,Maas,r,"(51.1622, 5.9527)",maas98,M(039a)R-LINL
Maas99,51.1625,5.9363,unk,NL,Maas,r,"(51.1625, 5.9363)",maas99,M(038a)R-LINL
Maas100,51.1469,5.8794,unk,NL,Maas,r,"(51.1469, 5.8794)",maas100,M(037a)R-LINL
Maas101,51.1307,5.8417,unk,NL,Maas,r,"(51.1307, 5.8417)",maas101,M(036a)R-LINL
Maas102,51.1085,5.8209,unk,NL,Maas,r,"(51.1085, 5.8209)",maas102,M(034a)R-LINL
Maas103,51.0848,5.8018,unk,NL,Maas,r,"(51.0848, 5.8018)",maas103,M(033a)R-LINL
Maas104,51.0669,5.7999,unk,NL,Maas,r,"(51.0669, 5.7999)",maas104,M(032a)R-LINL
Maas105,51.0463,5.7669,unk,NL,Maas,r,"(51.0463, 5.7669)",maas105,M(028a)L-LIBE
Maas106,51.0303,5.7589,unk,NL,Maas,r,"(51.0303, 5.7589)",maas106,M(027a)L-LIBE
Maas107,51.0296,5.7658,unk,NL,Maas,r,"(51.0296, 5.7658)",maas107,M(026a)R-LINL
Maas108,51.023,5.772,unk,NL,Maas,r,"(51.023, 5.772)",maas108,M(025a)L-LIBE
Maas109,51.0173,5.769,unk,NL,Maas,r,"(51.0173, 5.769)",maas109,M(024a)L-LIBE
Maas110,50.9823,5.7479,unk,NL,Maas,r,"(50.9823, 5.7479)",maas110,M(021a)L-LIBE
Maas111,50.9805,5.7398,unk,NL,Maas,r,"(50.9805, 5.7398)",maas111,M(020a)L-LIBE
Maas112,50.958,5.7375,unk,NL,Maas,r,"(50.958, 5.7375)",maas112,M(017a)R-LINL
Maas113,50.9501,5.7581,unk,NL,Maas,r,"(50.9501, 5.7581)",maas113,M(015a)R-LINL
Maas114,50.9105,5.7217,unk,NL,Maas,r,"(50.9105, 5.7217)",maas114,M(012a)L-LIBE
Maas115,50.9075,5.7197,unk,NL,Maas,r,"(50.9075, 5.7197)",maas115,M(011a)R-LINL
Maas116,50.9097,5.7143,unk,NL,Maas,r,"(50.9097, 5.7143)",maas116,M(010a)L-LIBE
Maas15,50.8724,5.689,unk,NL,Maas,r,"(50.8724, 5.689)",maas15,M(006a)L-LIBE
Maas117,50.8733,5.6906,unk,NL,Maas,r,"(50.8733, 5.6906)",maas117,M(005a)R-LINL
Maas118,50.7959,5.6953,unk,NL,Maas,r,"(50.7959, 5.6953)",maas118,M(004a)R-LINL
Maas119,50.7823,5.7001,unk,NL,Maas,r,"(50.7823, 5.7001)",maas119,M(003a)R-LINL
Waal120,51.8208,4.9052,unk,NL,Waal,r,"(51.8208, 4.9052)",waal120,W(085a)L-NBNL
Waal121,51.8275,5.098,unk,NL,Waal,r,"(51.8275, 5.098)",waal121,W(073a)R-GENL
Waal122,51.8528,5.4114,unk,NL,Waal,r,"(51.8528, 5.4114)",waal122,W(047a)R-GENL
Waal123,51.8724,5.9142,unk,NL,Waal,r,"(51.8724, 5.9142)",waal123,W(014a)L-GENL
Waal124,51.8655,5.9417,unk,NL,Waal,r,"(51.8655, 5.9417)",waal124,W(010a)L-GENL
Maas125,51.7553,5.3558,unk,NL,Maas,r,"(51.7553, 5.3558)",maas125,M(117a)L-NBNL
Maas126,51.8196,5.4157,unk,NL,Maas,r,"(51.8196, 5.4157)",maas126,M(109a)L-NBNL
Maas127,51.0574,5.7687,unk,NL,Maas,r,"(51.0574, 5.7687)",maas127,M(029a)L-LIBE
Waal128,51.7463,4.7141,unk,NL,Waal,r,"(51.7463, 4.7141)",waal128,W(093a)R-ZHNL
Waal129,51.8014,4.8634,unk,NL,Waal,r,"(51.8014, 4.8634)",waal129,W(087a)L-NBNL
Waal130,51.8172,4.8936,unk,NL,Waal,r,"(51.8172, 4.8936)",waal130,W(086a)L-NBNL
Waal131,51.8254,4.9902,unk,NL,Waal,r,"(51.8254, 4.9902)",waal131,W(083a)R-ZHNL
Waal132,51.8145,5.1924,unk,NL,Waal,r,"(51.8145, 5.1924)",waal132,W(066a)R-GENL
Waal133,51.8119,5.2089,unk,NL,Waal,r,"(51.8119, 5.2089)",waal133,W(064a)R-GENL
Waal134,51.8228,5.3209,unk,NL,Waal,r,"(51.8228, 5.3209)",waal134,W(056a)R-GENL
Waal135,51.8079,5.3613,unk,NL,Waal,r,"(51.8079, 5.3613)",waal135,W(052a)R-GENL
Waal136,51.838,5.3963,unk,NL,Waal,r,"(51.838, 5.3963)",waal136,W(049a)R-GENL
Waal137,51.8894,5.4544,unk,NL,Waal,r,"(51.8894, 5.4544)",waal137,W(043a)R-GENL
Waal138,51.9014,5.62,unk,NL,Waal,r,"(51.9014, 5.62)",waal138,W(033a)R-GENL
Waal139,51.8975,5.6825,unk,NL,Waal,r,"(51.8975, 5.6825)",waal139,W(030a)R-GENL
Waal140,51.8862,5.7217,unk,NL,Waal,r,"(51.8862, 5.7217)",waal140,W(028a)L-GENL
Waal141,51.8895,5.7242,unk,NL,Waal,r,"(51.8895, 5.7242)",waal141,W(027a)R-GENL
Waal142,51.8834,5.7356,unk,NL,Waal,r,"(51.8834, 5.7356)",waal142,W(026a)L-GENL
Waal11,51.8778,5.7978,unk,NL,Waal,r,"(51.8778, 5.7978)",waal11,W(022a)R-GENL
Waal143,51.8555,5.8514,unk,NL,Waal,r,"(51.8555, 5.8514)",waal143,W(019a)R-GENL
Waal144,51.8703,5.8897,unk,NL,Waal,r,"(51.8703, 5.8897)",waal144,W(015a)R-GENL
Waal145,51.8749,5.9338,unk,NL,Waal,r,"(51.8749, 5.9338)",waal145,W(012a)R-GENL
Waal146,51.8677,5.9463,unk,NL,Waal,r,"(51.8677, 5.9463)",waal146,W(011a)R-GENL
Waal147,51.8578,5.9582,unk,NL,Waal,r,"(51.8578, 5.9582)",waal147,W(009a)R-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(007a)L-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(005a)R-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(002a)R-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(001b)R-GENL
Waal148,51.8154,5.3699,unk,NL,Waal,r,"(51.8154, 5.3699)",waal148,W(051a)R-GENL
Nederrijn13,51.7183,4.698,unk,NL,Nederrijn,r,"(51.7183, 4.698)",nederrijn13,R(003a)R-GENL
Nederrijn13,51.7183,4.698,unk,NL,Nederrijn,r,"(51.7183, 4.698)",nederrijn13,R(002a)L-GENL
Nederrijn13,51.7183,4.698,unk,NL,Nederrijn,r,"(51.7183, 4.698)",nederrijn13,R(001c)R-GENL
Maas13,51.7183,4.698,unk,NL,Maas,r,"(51.7183, 4.698)",maas13,M(155a)L-NBNL
Maas149,51.7221,4.7401,unk,NL,Maas,r,"(51.7221, 4.7401)",maas149,M(154a)L-NBNL
Maas150,51.7144,4.7831,unk,NL,Maas,r,"(51.7144, 4.7831)",maas150,M(153a)L-NBNL
Maas151,51.7143,4.783131,unk,NL,Maas,r,"(51.7143, 4.783131)",maas151,M(152a)L-NBNL
Maas152,51.7203,4.9025,unk,NL,Maas,r,"(51.7203, 4.9025)",maas152,M(150a)R-NBNL
Maas153,51.7239,4.938,unk,NL,Maas,r,"(51.7239, 4.938)",maas153,M(148a)R-NBNL
Maas43,51.7137,5.0137,unk,NL,Maas,r,"(51.7137, 5.0137)",maas43,M(145a)R-NBNL
Maas154,51.7103,5.0521,unk,NL,Maas,r,"(51.7103, 5.0521)",maas154,M(142a)L-NBNL
Maas155,51.735,5.1208,unk,NL,Maas,r,"(51.735, 5.1208)",maas155,M(139a)L-NBNL
Maas156,51.7863,5.1059,unk,NL,Maas,r,"(51.7863, 5.1059)",maas156,M(136d)R-GENL
Maas157,51.7447,5.2147,unk,NL,Maas,r,"(51.7447, 5.2147)",maas157,M(133a)R-GENL
Maas158,51.7382,5.2662,unk,NL,Maas,r,"(51.7382, 5.2662)",maas158,M(129a)L-NBNL
Maas159,51.735307,5.252935,unk,NL,Maas,r,"(51.735307, 5.252935)",maas159,M(128b)R-GENL
Maas160,51.74100000000001,5.3068,unk,NL,Maas,r,"(51.74100000000001, 5.3068)",maas160,M(124a)R-GENL
Maas161,51.7482,5.3236,unk,NL,Maas,r,"(51.7482, 5.3236)",maas161,M(121a)R-GENL
Maas162,51.7541,5.3451,unk,NL,Maas,r,"(51.7541, 5.3451)",maas162,M(118a)R-GENL
Maas163,51.7851,5.3641,unk,NL,Maas,r,"(51.7851, 5.3641)",maas163,M(115a)R-GENL
Maas164,51.8089,5.3859,unk,NL,Maas,r,"(51.8089, 5.3859)",maas164,M(112a)R-GENL
Maas165,51.8315,5.4906,unk,NL,Maas,r,"(51.8315, 5.4906)",maas165,M(108a)R-GENL
Maas166,51.8204,5.5174,unk,NL,Maas,r,"(51.8204, 5.5174)",maas166,M(106a)R-GENL
Maas167,51.8257,5.5513,unk,NL,Maas,r,"(51.8257, 5.5513)",maas167,M(102a)L-NBNL
Maas168,51.7543,5.7543,unk,NL,Maas,r,"(51.7543, 5.7543)",maas168,M(095a)L-NBNL
Maas169,51.7529,5.7929,unk,NL,Maas,r,"(51.7529, 5.7929)",maas169,M(094a)L-NBNL
Maas170,51.755,5.7937,unk,NL,Maas,r,"(51.755, 5.7937)",maas170,M(093a)R-GENL
Maas171,51.7591,5.8351,unk,NL,Maas,r,"(51.7591, 5.8351)",maas171,M(092a)R-GENL
