slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
flibach-river-right-bank,Flibach River Right bank,47.133742,9.105461,Weesen,8872,CH,l,Walensee,weesen,walensee,True
gals-reserve,Gals reserve,47.0462719,7.0850075,Gals,3238,CH,l,Bielersee,gals,bielersee,True
gerra-gambarogno,gerra-gambarogno,46.123366,8.785786,Gambarogno,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.416769099999996,8.566711999999999,Opfikon,8152,CH,r,Glatt,opfikon,glatt,False
goldach_goldach_schlachterj,goldach_goldach_schlachterj,47.4739111,9.4593094,Goldach,9403,CH,r,Goldach,goldach,goldach,False
grand-clos,Grand Clos,46.387746,6.843686,Saint Gingolph,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.3609381,8.6537228,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_fallanden_simmenc,greifensee_fällanden_simmenc,47.3597141,8.6548433,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_greifensee_simmenc,greifensee_greifensee_simmenc,47.3635723,8.6756991,Greifensee,8606,CH,l,Greifensee,greifensee,greifensee,False
greifensee_maur_simmenc,greifensee_maur_simmenc,47.3323864,8.6855146,Maur,8124,CH,l,Greifensee,maur,greifensee,False
greifensee_uster_fischerb_-2,greifensee_uster_fischerb_ 2,47.347436,8.6898805,Uster,8610,CH,l,Greifensee,uster,greifensee,False
greifensee_uster_fischerb_1,greifensee_uster_fischerb_1,47.3501274,8.6897972,Uster,8610,CH,l,Greifensee,uster,greifensee,False
grendelbach_effretikon_dambonec,Grendelbach_Effretikon_DamboneC,47.4256491,8.6907062,Illnau Effretikon,8307,CH,r,Grändelbach,illnau-effretikon,grandelbach,False
gasi-strand,Gäsi Strand,47.128442,9.110831,Weesen,8872,CH,l,Walensee,weesen,walensee,True
hauterive-petite-plage,Hauterive Petite plage,47.010797,6.980303999999999,Hauterive (NE),2068,CH,l,Neuenburgersee,hauterive-ne,neuenburgersee,True
hafeli,Häfeli,46.6902834,7.8985922,Bönigen,3806,CH,l,Brienzersee,bonigen,brienzersee,True
impromptu_cudrefin,Impromptu_Cudrefin,46.964496000000004,7.027936,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True
inn_pradella_kohlt,Inn_Pradella_KohlT,46.800876,10.319994,Scuol,7550,CH,r,Inn,scuol,inn,False
jardin-botanique,Jardin Botanique,46.2259088,6.1493572,Genève,1202,CH,l,Lac Léman,geneve,lac-leman,False
jona-river-rastplatz,Jona river Rastplatz,47.2161,8.844430000000001,Jona city,8654,CH,r,Jona,jona-city,jona,True
jona_tann_nusslin,jona_tann_nusslin,47.268427200000005,8.864125099999999,Dürnten,8635,CH,r,Jona,durnten,jona,False
katzenbach_zuerich_sanesim,katzenbach_zuerich_sanesim,47.428472799999994,8.513088,Zurich,8046,CH,l,Katzensee,zurich,katzensee,False
katzensee_regensdorfzuerichaffoltern_stueberj,katzensee_regensdorfzuerichaffoltern_stueberj,47.4311281,8.4929243,Zurich,8046,CH,l,Katzensee,zurich,katzensee,False
kusnachter-dorfbach-tobelweg-1-4,Küsnachter Dorfbach Tobelweg 1-4,47.31777,8.588258,Küsnacht,8700,CH,r,Dorfbach,kusnacht,dorfbach,True
la-morges,La Morges,46.504063,6.494098999999999,Morges,1110,CH,l,Lac Léman,morges,lac-leman,False
la-pecherie,La Pêcherie,46.4639187,6.385732099999999,Allaman,1165,CH,l,Lac Léman,allaman,lac-leman,True
la-petite-plage,La Petite plage,46.785053999999995,6.656877000000001,Yverdon-les-Bains,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.77534,6.6309,Yverdon-les-Bains,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True
lac-leman-hammerdirt,Lac Léman Hammerdirt,46.450389200000004,6.8582342,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
lacleman_gland_kubela,lacléman_gland_kubela,46.4028693,6.2819358,Gland,1196,CH,l,Lac Léman,gland,lac-leman,False
lacleman_gland_lecoanets,Lacléman_Gland_LecoanetS,46.4028106,6.281958599999999,Gland,1196,CH,l,Lac Léman,gland,lac-leman,True
lacleman_vidy_santie,lacléman_vidy_santie,46.5183178,6.5896078,Lausanne,1007,CH,l,Lac Léman,lausanne,lac-leman,False
langete_langenthal_geiserm,langete_langenthal_geiserm,47.21653320000001,7.7923041,Langenthal,4900,CH,r,Langeten,langenthal,langeten,False
lavey-la-source,Lavey la source,46.200804,7.021866,Lavey-Morcles,1892,CH,r,Rhône,lavey-morcles,rhone,True
lavey-les-bains,Lavey les bains,46.205158700000005,7.012722,Lavey-les-bains,1892,CH,r,Rhône,lavey-les-bains,rhone,True
le-pierrier,Le Pierrier,46.439727000000005,6.888967999999999,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,True
le-port,Le Port,46.452245,6.855180000000001,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
les-glariers,Les Glariers,46.176736,7.228925,Riddes,6139,CH,r,Rhône,riddes,rhone,True
les-vieux-ronquoz,Les Vieux Ronquoz,46.2220487,7.361664,Sion,1950,CH,r,Rhône,sion,rhone,True
ligerz-strand,Ligerz strand,47.083979,7.135894,Ligerz,2514,CH,l,Bielersee,ligerz,bielersee,True
limmat_dietikon_keiserp,limmat_dietikon_keiserp,47.4079891,8.4095398,Dietikon,8953,CH,r,Limmat,dietikon,limmat,False
limmat_unterengstringen_oggierbuhrer,Limmat_Unterengstringen_OggierBührer,47.409400299999994,8.4469334,Unterengstringen,8103,CH,r,Limmat,unterengstringen,limmat,False
limmat_zuerich_jansena,Limmat_Zuerich_JansenA,47.4000247,8.484684699999999,Zurich,8064,CH,r,Limmat,zurich,limmat,True
limmat_zuerich_suterdglauserp,limmat_zuerich_suterd&glauserp,47.3945393,8.5134435,Zurich,8005,CH,r,Limmat,zurich,limmat,True
limmat_zuerich_wagnerc,Limmat_Zuerich_WagnerC,47.4034956,8.4777701,Zurich,8064,CH,r,Limmat,zurich,limmat,False
limmat_zurich_mortensena_meiera,limmat_zürich_mortensena_meiera,47.4002515,8.485411000000001,Zurich,8064,CH,r,Limmat,zurich,limmat,True
linthdammweg,Linthdammweg,47.13179,9.09191,Weesen,8872,CH,r,Linthkanal,weesen,linthkanal,True
linth_mollis,Linth_Mollis,47.131370000000004,9.094768,Glarus Nord,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True
linth_route9brucke,Linth_Route9brücke,47.12573,9.117339999999999,Glarus Nord,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True
lorze_baar_blarere,Lorze_Baar_BlarerE,47.1954019,8.540237,Baar,6340,CH,r,Lorze,baar,lorze,False
luscherz-plage,Lüscherz plage,47.0479551,7.151242,Lüscherz,2576,CH,l,Bielersee,luscherz,bielersee,True
luscherz-two,Lüscherz two,47.047519,7.1528292,Lüscherz,2573,CH,l,Bielersee,luscherz,bielersee,True
lotschebach_bern_scheurerk,lötschebach_bern_scheurerk,46.964946000000005,7.492835899999999,Ostermundigen,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False
maladaire,Maladaire,46.446296000000004,6.87696,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True
mammern-swisslitterreport,Mammern swisslitterreport,47.6558366,8.9553168,Steckborn,8266,CH,l,Untersee,steckborn,untersee,False
mols-rocks,mols rocks,47.1143432,9.2881737,Quarten,8885,CH,l,Walensee,quarten,walensee,True
murg-bad,Murg Bad,47.115307,9.215691,Quarten,8877,CH,l,Walensee,quarten,walensee,True
murg_waengi_strickerr,Murg_Waengi_StrickerR,47.49361,8.961592800000002,Wängi,9545,CH,r,Murg,wangi,murg,False
muhlehorn-dorf,Mühlehorn dorf,47.118448,9.172124,Glarus Nord,8874,CH,l,Walensee,glarus-nord,walensee,True
mullermatte,Müllermatte,47.133339,7.227907000000001,biel,2505,CH,l,Bielersee,biel,bielersee,True
neuenburgersee_cudrefin_mattera,Neuenburgersee_Cudrefin_MatterA,46.962708899999996,7.0259681,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False
nidau-strand,Nidau strand,47.127196000000005,7.232613000000001,Nidau,2560,CH,l,Bielersee,nidau,bielersee,True
nouvelle-plage,Nouvelle plage,46.856646399999995,6.848428,Estavayer,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True
oben-am-see,Oben am see,46.74445107,8.049921099999999,Brienze (BE),3855,CH,l,Brienzersee,brienze-be,brienzersee,True
ognonnaz-1,Ognonnaz 1,46.4599413,6.8591341,Vevey,1800,CH,r,Ognonnaz,vevey,ognonnaz,False
oyonne,Oyonne,46.456682,6.852262,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True
pacha-mama-gerra,pacha mama-gerra,46.123473,8.783508,Gambarogno,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True
parc-des-pierrettes,Parc des Pierrettes,46.515215000000005,6.575531,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True
pecos-plage,Pécos Plage,46.80359,6.63665,Grandson,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True
pfaffner_rothrist_ischik,Pfaffner_Rothrist_Ischik,47.298567799999994,7.8994664000000006,Rothrist,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False
pierrier-sud,Pierrier sud,46.4395601,6.8910000999999985,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False
plage-de-cheyres,Plage de Cheyres,46.818689,6.782255999999999,Cheyres,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True
plage-de-dorigny,Plage de Dorigny,46.518169,6.583319,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False
plage-de-st-sulpice,Plage de St Sulpice,46.513265000000004,6.570977,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True
pointe-dareuse,Pointe d'Areuse,46.94619,6.87097,Boudry,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True
preverenges,Préverenges,46.51269,6.527657,Préverenges,1028,CH,l,Lac Léman,preverenges,lac-leman,True
preverenges-le-sout,preverenges-le sout,46.5089049,6.5345263,Préverenges,1028,CH,l,Lac Léman,preverenges,lac-leman,True
